depth level;MIN_TIME_DELTA;DURATION;START
6.0;10;399 days 23:00:00;2023-01-16 06:00:00
11.0;10;399 days 23:00:00;2023-01-16 06:00:00
35.0;4;356 days 22:00:00;2023-01-16 06:00:00
