depth level;MIN_TIME_DELTA;DURATION;START
3.0;20;193 days 08:00:00;2022-03-28 08:00:00
6.0;10;399 days 23:00:00;2023-01-16 06:00:00
11.0;10;399 days 23:00:00;2023-01-16 06:00:00
15.0;10;363 days 22:00:00;2023-01-16 06:00:00
20.0;4;356 days 22:00:00;2023-01-16 06:00:00
25.0;4;317 days 05:00:00;2023-01-16 06:00:00
30.0;10;399 days 23:00:00;2023-01-16 06:00:00
35.0;4;356 days 22:00:00;2023-01-16 06:00:00
