depth level;MIN_TIME_DELTA;DURATION;START
0.5;4;293 days 21:00:00;2020-06-08 08:09:00
1.0;4;293 days 21:00:00;2020-06-08 08:09:00
2.0;4;289 days 10:00:00;2020-06-08 08:09:00
4.0;4;293 days 21:00:00;2020-06-08 08:09:00
8.0;3;293 days 21:00:00;2020-06-08 08:09:00
13.0;3;293 days 21:00:00;2020-06-08 08:09:00
