depth level;MIN_TIME_DELTA;DURATION;START
4.0;4;293 days 21:00:00;2020-06-08 08:09:00
8.0;4;293 days 21:00:00;2020-06-08 08:09:00
13.0;3;293 days 21:00:00;2020-06-08 08:09:00
