time_delta;DURATION;START
1;139 days 09:00:00;2020-01-01 00:27:00
2;167 days 03:00:00;2022-08-08 09:00:00
3;219 days 11:33:00;2021-12-30 18:27:00
4;219 days 11:33:00;2021-12-30 18:27:00
5;247 days 20:33:00;2021-12-02 09:27:00
6;247 days 20:33:00;2021-12-02 09:27:00
7;247 days 20:33:00;2021-12-02 09:27:00
8;247 days 20:33:00;2021-12-02 09:27:00
9;247 days 20:33:00;2021-12-02 09:27:00
10;247 days 20:33:00;2021-12-02 09:27:00
11;247 days 20:33:00;2021-12-02 09:27:00
12;247 days 20:33:00;2021-12-02 09:27:00
13;247 days 20:33:00;2021-12-02 09:27:00
14;247 days 20:33:00;2021-12-02 09:27:00
15;247 days 20:33:00;2021-12-02 09:27:00
16;265 days 17:33:00;2021-11-14 12:27:00
17;265 days 17:33:00;2021-11-14 12:27:00
18;265 days 17:33:00;2021-11-14 12:27:00
19;265 days 17:33:00;2021-11-14 12:27:00
20;265 days 17:33:00;2021-11-14 12:27:00
21;265 days 17:33:00;2021-11-14 12:27:00
22;265 days 17:33:00;2021-11-14 12:27:00
23;265 days 17:33:00;2021-11-14 12:27:00
24;265 days 17:33:00;2021-11-14 12:27:00
