time_stamp;LENGTH;N_MISSING_BEFORE;N_MISSING_AFTER
2021-10-21 03:00:00;11;0;4
2021-10-21 17:00:00;14;4;2
2021-10-22 08:00:00;1;2;0
2021-12-20 18:00:00;12;0;0
2021-12-30 13:00:00;1;0;5
2021-12-30 18:00:00;21;5;0
2021-12-31 16:00:00;8;0;0
2022-01-03 03:00:00;1;0;0
2022-01-03 05:00:00;1;0;0
2022-01-03 09:00:00;13;0;0
2022-01-13 13:00:00;7;0;0
2022-01-16 19:00:00;10;0;0
2022-02-07 22:00:00;1;0;0
2023-03-09 09:00:00;1;0;0
2023-03-20 19:00:00;11;0;0
2023-04-08 06:00:00;32;0;0
2023-05-04 02:00:00;4;0;0
2023-05-10 00:00:00;4;0;0
2023-05-16 19:00:00;1;0;0
2023-05-22 19:00:00;12;0;0
2023-06-04 09:00:00;3;0;2
2023-06-04 13:00:00;1;2;2
2024-04-28 13:00:00;1;0;2
2024-04-28 15:00:00;1;2;2
