time_stamp;LENGTH;N_MISSING_BEFORE;N_MISSING_AFTER
2021-10-08 07:25:00;1;0;5
2021-10-21 03:00:00;11;0;4
2021-10-21 17:00:00;14;4;2
2022-05-18 06:00:00;1;0;0
2022-05-20 07:00:00;1;0;0
2022-05-20 23:00:00;1;0;0
2022-05-21 09:00:00;1;0;0
2022-05-21 20:00:00;1;0;0
2022-05-22 23:00:00;1;0;0
2022-05-24 06:00:00;1;0;0
2022-05-24 12:00:00;1;0;0
2022-07-03 10:00:00;1;0;0
2022-07-04 08:00:00;1;0;0
2022-07-04 12:00:00;1;0;0
2022-07-05 04:00:00;1;0;0
2022-07-06 04:00:00;1;0;0
2022-07-06 14:00:00;1;0;0
2022-07-06 19:00:00;1;0;0
2023-03-09 08:00:00;2;0;0
2023-04-08 06:00:00;32;0;0
2023-06-04 09:00:00;3;0;2
2023-06-04 13:00:00;1;2;2
2023-06-27 06:00:00;1;0;0
2023-06-27 09:00:00;1;0;0
2023-06-27 23:00:00;1;0;0
2023-06-28 12:00:00;1;0;0
2023-06-28 18:00:00;1;0;0
2023-06-29 21:00:00;1;0;0
2023-06-30 01:00:00;1;0;0
2023-06-30 05:00:00;1;0;0
2023-06-30 14:00:00;1;0;0
2023-06-30 18:00:00;1;0;0
2023-07-01 17:00:00;1;0;0
2024-01-11 19:00:00;82;0;2480
2024-04-27 12:00:00;27;2480;2
2024-05-18 01:00:00;1;0;0
2024-05-18 16:00:00;1;0;0
2024-05-18 23:00:00;1;0;0
2024-05-19 07:00:00;1;0;0
2024-05-20 00:00:00;1;0;0
2024-05-20 20:00:00;1;0;0
2024-05-22 04:00:00;1;0;0
2024-05-22 23:00:00;1;0;0
2024-05-23 06:00:00;1;0;0
2024-05-23 14:00:00;1;0;0
2024-05-24 06:00:00;1;0;0
2024-05-27 19:00:00;1;0;0
2024-05-27 21:00:00;1;0;0
2024-05-28 22:00:00;1;0;0
2024-05-29 02:00:00;1;0;0
2024-05-30 10:00:00;1;0;0
2024-05-31 15:00:00;1;0;0
2024-06-01 02:00:00;1;0;0
2024-06-01 11:00:00;1;0;0
2024-06-01 14:00:00;1;0;0
2024-06-01 18:00:00;1;0;0
2024-06-01 20:00:00;1;0;0
2024-06-01 22:00:00;1;0;0
2024-06-02 01:00:00;1;0;0
