TIME_VALUE,Z_LOCATION,DATA_VALUE,QF1,QF3,INTERP,ad_mm
2021-08-26 06:00:00,-11.0,33.87833333333333,2,2,True,0.0
2021-08-26 07:00:00,-35.0,34.05583333333333,2,2,True,0.0
2021-08-26 07:00:00,-11.0,33.86416666666666,2,2,True,0.0
2021-08-26 08:00:00,-35.0,34.06583333333334,2,2,True,0.0
2021-08-26 08:00:00,-11.0,33.86,2,2,True,0.0
2021-08-26 09:00:00,-35.0,34.07,2,2,True,0.0
2021-08-26 09:00:00,-11.0,33.87166666666667,2,2,True,0.0
2021-08-26 10:00:00,-35.0,34.075833333333335,2,2,True,0.0
2021-08-26 10:00:00,-11.0,33.8975,2,2,True,0.0
2021-08-26 11:00:00,-35.0,34.07416666666666,2,2,True,0.0
2021-08-26 11:00:00,-11.0,33.93333333333334,2,2,True,0.0
2021-08-26 12:00:00,-35.0,34.075833333333335,2,2,True,0.0
2021-08-26 12:00:00,-11.0,33.95583333333334,2,2,True,0.0
2021-08-26 13:00:00,-35.0,34.08,2,2,True,0.0
2021-08-26 13:00:00,-11.0,33.96,2,2,True,0.0
2021-08-26 14:00:00,-35.0,34.07416666666666,2,2,True,0.0
2021-08-26 14:00:00,-11.0,33.96,2,2,True,0.0
2021-08-26 15:00:00,-35.0,34.07,2,2,True,0.0
2021-08-26 15:00:00,-11.0,33.94833333333333,2,2,True,0.0
2021-08-26 16:00:00,-35.0,34.07,2,2,True,0.0
2021-08-26 16:00:00,-11.0,33.928333333333335,2,2,True,0.0
2021-08-26 17:00:00,-35.0,34.064166666666665,2,2,True,0.0
2021-08-26 17:00:00,-11.0,33.91416666666667,2,2,True,0.0
2021-08-26 18:00:00,-35.0,34.06,2,2,True,0.0
2021-08-26 18:00:00,-11.0,33.88666666666666,2,2,True,0.0
2021-08-26 19:00:00,-35.0,34.05416666666667,2,2,True,0.0
2021-08-26 19:00:00,-11.0,33.8525,2,2,True,0.0
2021-08-26 20:00:00,-35.0,34.009166666666665,2,2,True,0.0
2021-08-26 20:00:00,-11.0,33.82833333333333,2,2,True,0.0
2021-08-26 21:00:00,-35.0,34.02083333333333,2,2,True,0.0
2021-08-26 21:00:00,-11.0,33.825833333333335,2,2,True,0.0
2021-08-26 22:00:00,-35.0,34.05583333333333,2,2,True,0.0
2021-08-26 22:00:00,-11.0,33.84166666666667,2,2,True,0.0
2021-08-26 23:00:00,-35.0,34.06,2,2,True,0.0
2021-08-26 23:00:00,-11.0,33.873333333333335,2,2,True,0.0
2021-08-27 00:00:00,-35.0,34.06583333333334,2,2,True,0.0
2021-08-27 00:00:00,-11.0,33.9075,2,2,True,0.0
2021-08-27 01:00:00,-35.0,34.064166666666665,2,2,True,0.0
2021-08-27 01:00:00,-11.0,33.92583333333334,2,2,True,0.0
2021-08-27 02:00:00,-35.0,34.06583333333334,2,2,True,0.0
2021-08-27 02:00:00,-11.0,33.93,2,2,True,0.0
2021-08-27 03:00:00,-35.0,34.064166666666665,2,2,True,0.0
2021-08-27 03:00:00,-11.0,33.93,2,2,True,0.0
2021-08-27 04:00:00,-35.0,34.06583333333334,2,2,True,0.0
2021-08-27 04:00:00,-11.0,33.9125,2,2,True,0.0
2021-08-27 05:00:00,-35.0,34.064166666666665,2,2,True,0.0
2021-08-27 05:00:00,-11.0,33.876666666666665,2,2,True,0.0
2021-08-27 06:00:00,-35.0,34.06,2,2,True,0.0
2021-08-27 06:00:00,-11.0,33.8425,2,2,True,0.0
2021-08-27 07:00:00,-35.0,34.05416666666667,2,2,True,0.0
2021-08-27 07:00:00,-11.0,33.806666666666665,2,2,True,0.0
2021-08-27 08:00:00,-35.0,34.05583333333333,2,2,True,0.0
2021-08-27 08:00:00,-11.0,33.784166666666664,2,2,True,0.0
2021-08-27 09:00:00,-35.0,34.071666666666665,2,2,True,0.0
2021-08-27 09:00:00,-11.0,33.78,2,2,True,0.0
2021-08-27 10:00:00,-35.0,34.07416666666666,2,2,True,0.0
2021-08-27 10:00:00,-11.0,33.7975,2,2,True,0.0
