time_stamp;LENGTH;N_MISSING_BEFORE;N_MISSING_AFTER
2020-01-23 08:27:00;1;0;0
2020-06-21 17:27:00;1;0;0
2020-07-05 09:27:00;1;0;0
2020-07-16 10:27:00;2;4;0
2020-09-16 08:27:00;2;0;0
2020-10-04 07:27:00;1;0;0
2021-05-23 14:27:00;1;0;0
2021-12-13 21:27:00;11;0;0
2022-01-20 02:27:00;4;0;0
2022-01-23 13:00:00;1;2;2
2022-03-21 19:00:00;129;0;0
2022-06-23 08:00:00;2;0;0
2022-11-05 07:00:00;5;0;0
2022-11-12 09:00:00;3;0;27
2022-12-21 10:00:00;2;0;0
2022-12-23 22:00:00;29;0;0
2023-01-22 12:00:00;28;0;0
2023-06-03 16:00:00;1;0;88
2023-06-27 20:00:00;26;0;0
2023-12-02 08:00:00;2;2;2647
2024-03-21 16:00:00;1;2647;0
