time_stamp;LENGTH;N_MISSING_BEFORE;N_MISSING_AFTER
2020-06-28 03:27:00;1;0;0
2020-06-28 14:27:00;1;0;0
2020-06-29 02:27:00;1;0;0
2020-06-29 05:27:00;1;0;0
2020-06-29 09:27:00;1;0;0
2020-06-29 22:27:00;1;0;0
2020-07-16 10:27:00;3;4;0
2020-09-16 08:27:00;2;0;0
2021-06-13 03:27:00;1;0;0
2021-07-10 21:27:00;1;0;0
2021-07-11 10:27:00;1;0;0
2021-07-12 08:27:00;1;0;0
2021-07-12 23:27:00;1;0;0
2021-07-15 06:27:00;1;0;0
2021-07-29 11:27:00;1;0;0
2021-07-29 13:27:00;1;0;0
2021-07-30 03:27:00;1;0;0
2022-01-23 13:00:00;1;2;2
2022-05-15 00:00:00;1;0;0
2022-05-16 20:00:00;1;0;0
2022-06-23 07:00:00;3;0;0
2022-08-27 20:00:00;1;0;0
2022-11-12 09:00:00;28;0;2
2023-06-03 16:00:00;2;0;0
2023-06-09 23:00:00;1;0;0
2023-12-02 08:00:00;2;2;2647
2024-03-21 16:00:00;1;2647;0
2024-05-22 21:00:00;1;0;0
2024-05-23 14:00:00;1;0;0
2024-05-25 18:00:00;1;0;0
2024-05-26 21:00:00;1;0;0
2024-05-27 08:00:00;1;0;0
2024-05-28 01:00:00;1;0;0
2024-05-28 09:00:00;1;0;0
2024-05-28 13:00:00;1;0;0
2024-05-28 20:00:00;1;0;0
2024-05-29 02:00:00;1;0;0
2024-05-29 06:00:00;1;0;0
2024-05-31 20:00:00;1;0;0
2024-06-02 03:00:00;1;0;0
2024-06-02 06:00:00;1;0;0
