depth level;MIN_TIME_DELTA;DURATION;START
3.0;5;136 days 20:00:00;2020-07-12 13:29:00
6.0;6;263 days 21:00:00;2020-03-24 14:29:00
10.0;21;222 days 06:00:00;2022-06-16 12:00:00
15.0;6;263 days 21:00:00;2020-03-24 14:29:00
20.0;6;263 days 21:00:00;2020-03-24 14:29:00
24.0;6;263 days 21:00:00;2020-03-24 14:29:00
