time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2020-06-26 16:29:00;1;0;0
2020-06-27 23:29:00;1;0;0
2020-06-28 23:29:00;1;0;0
2020-07-06 14:29:00;1;0;0
2020-07-09 09:29:00;1;0;0
2020-07-30 14:29:00;1;0;0
2020-08-02 09:29:00;1;0;0
2020-08-18 04:29:00;1;0;0
2020-08-31 09:29:00;1;0;0
2020-09-20 10:29:00;1;0;0
2020-11-19 01:29:00;1;0;0
2020-12-07 20:29:00;1;0;0
2020-12-08 14:29:00;1;0;0
2020-12-12 00:29:00;1;0;0
2022-07-15 05:00:00;1;0;0
2022-07-19 11:00:00;1;0;0
2022-07-27 18:00:00;1;0;0
2022-07-27 22:00:00;1;0;0
2022-09-28 23:00:00;1;0;0
2022-09-29 05:00:00;1;0;0
2022-09-30 08:00:00;1;0;0
2022-10-01 12:00:00;1;0;0
2022-10-02 16:00:00;1;0;0
2022-10-03 01:00:00;1;0;0
2022-11-10 02:00:00;1;0;0
2022-11-16 03:00:00;1;0;0
2022-11-16 06:00:00;1;0;0
2022-11-16 09:00:00;1;0;0
2023-01-01 16:00:00;1;0;0
2023-01-08 16:00:00;1;0;0
2023-01-09 16:00:00;1;0;0
2023-02-22 10:00:00;1;0;0
2023-08-04 22:00:00;1;0;0
2023-08-22 12:00:00;1;0;0
2023-08-29 01:00:00;1;0;0
2023-09-21 09:00:00;1;0;0
2023-09-21 19:00:00;1;0;0
