time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2020-07-09 09:29:00;4;0;1
2020-08-31 09:29:00;3;0;1
2020-08-31 13:29:00;1;1;1
2020-12-12 01:29:00;35;0;1
2023-02-22 10:00:00;2;0;1
