time_delta;DURATION;START
1;79 days 08:00:00;2022-06-16 12:00:00
2;119 days 10:00:00;2022-09-27 08:00:00
3;119 days 10:00:00;2022-09-27 08:00:00
4;119 days 10:00:00;2022-09-27 08:00:00
5;119 days 10:00:00;2022-09-27 08:00:00
6;119 days 10:00:00;2022-09-27 08:00:00
7;119 days 10:00:00;2022-09-27 08:00:00
8;119 days 10:00:00;2022-09-27 08:00:00
9;119 days 10:00:00;2022-09-27 08:00:00
10;119 days 10:00:00;2022-09-27 08:00:00
11;119 days 10:00:00;2022-09-27 08:00:00
12;119 days 10:00:00;2022-09-27 08:00:00
13;119 days 10:00:00;2022-09-27 08:00:00
14;119 days 10:00:00;2022-09-27 08:00:00
15;119 days 10:00:00;2022-09-27 08:00:00
16;119 days 10:00:00;2022-09-27 08:00:00
17;119 days 10:00:00;2022-09-27 08:00:00
18;119 days 10:00:00;2022-09-27 08:00:00
19;119 days 10:00:00;2022-09-27 08:00:00
20;119 days 10:00:00;2022-09-27 08:00:00
21;222 days 06:00:00;2022-06-16 12:00:00
22;222 days 06:00:00;2022-06-16 12:00:00
23;222 days 06:00:00;2022-06-16 12:00:00
24;222 days 06:00:00;2022-06-16 12:00:00
