time_stamp;LENGTH;MISSING_BEFORE;MISSING_AFTER
2020-06-26 16:29:00;1;0;0
2020-06-27 23:29:00;;;
2020-06-28 23:29:00;;;
2020-07-06 14:29:00;;;
2020-07-06 15:29:00;;;
2020-07-09 09:29:00;;;
2020-07-09 10:29:00;;;
2020-07-09 11:29:00;;;
2020-07-09 12:29:00;;;
2020-07-30 14:29:00;;;
2020-08-02 09:29:00;;;
2020-08-18 04:29:00;;;
2020-08-31 09:29:00;;;
2020-08-31 10:29:00;;;
2020-08-31 11:29:00;;;
2020-09-20 10:29:00;;;
2020-09-20 11:29:00;;;
2020-11-19 01:29:00;;;
2020-12-07 20:29:00;;;
2020-12-08 14:29:00;;;
2020-12-12 00:29:00;;;
2020-12-12 01:29:00;;;
2020-12-12 02:29:00;;;
2020-12-12 03:29:00;;;
2020-12-12 04:29:00;;;
2020-12-12 05:29:00;;;
2020-12-12 06:29:00;;;
2020-12-12 07:29:00;;;
2020-12-12 08:29:00;;;
2020-12-12 09:29:00;;;
2020-12-12 10:29:00;;;
2020-12-12 11:29:00;;;
2020-12-12 12:29:00;;;
2020-12-12 13:29:00;;;
2020-12-12 14:29:00;;;
2020-12-12 15:29:00;;;
2020-12-12 16:29:00;;;
2020-12-12 17:29:00;;;
2020-12-12 18:29:00;;;
2020-12-12 19:29:00;;;
2020-12-12 20:29:00;;;
2020-12-12 21:29:00;;;
2020-12-12 22:29:00;;;
2020-12-12 23:29:00;;;
2020-12-13 00:29:00;;;
2020-12-13 01:29:00;;;
2020-12-13 02:29:00;;;
2020-12-13 03:29:00;;;
2020-12-13 04:29:00;;;
2020-12-13 05:29:00;;;
2020-12-13 06:29:00;;;
2020-12-13 07:29:00;;;
2020-12-13 08:29:00;;;
2020-12-13 09:29:00;;;
2020-12-13 10:29:00;;;
2020-12-13 11:29:00;;;
2022-07-15 05:00:00;;;
2022-07-19 11:00:00;;;
2022-07-27 18:00:00;;;
2022-07-27 22:00:00;;;
2022-09-28 23:00:00;;;
2022-09-29 05:00:00;;;
2022-09-30 08:00:00;;;
2022-10-01 12:00:00;;;
2022-10-02 16:00:00;;;
2022-10-03 01:00:00;;;
2022-11-10 02:00:00;;;
2022-11-16 03:00:00;;;
2022-11-16 06:00:00;;;
2022-11-16 09:00:00;;;
2023-01-01 16:00:00;;;
2023-01-08 16:00:00;;;
2023-01-09 16:00:00;;;
2023-02-22 10:00:00;;;
2023-02-22 11:00:00;;;
2023-08-04 22:00:00;;;
2023-08-22 12:00:00;;;
2023-08-29 01:00:00;;;
2023-09-21 09:00:00;;;
2023-09-21 10:00:00;;;
2023-09-21 11:00:00;;;
2023-09-21 12:00:00;;;
2023-09-21 19:00:00;;;
